Location_ID,X,Y,Installation_Cost
0,89.72582216061615,38.833772073180526,4550.074589008195
1,3.135475909708374,11.123350487585448,6548.9402176724925
2,38.78974312512724,97.92448836049178,3300.007666178458
3,10.193833440281463,29.69602678911356,7649.848620923258
4,10.60805098693185,95.80296543980863,5221.729295462986
5,23.521091738019383,89.06475817949455,6478.064473065548
6,18.16521693198343,52.54712499457824,7078.291646103353
7,67.03472772985576,52.67648062093295,6147.841452569004
8,78.82183298160234,63.08609029658736,5397.207671114564
9,53.531076510318734,15.178720274068313,4516.319110638079
10,17.096485462585587,96.4968531216315,6388.813548653695
11,90.34919514304839,36.32770710550217,7015.362409439162
12,29.64872081189772,1.4516024487832957,6795.084676154094
13,37.15525262994065,73.0646262034178,5199.989344869583
14,84.18704930384105,38.94923299304713,6627.758105035378
15,88.50736664443197,7.458692606686556,6289.102893774544
16,82.25401205933159,60.64341182788535,7358.5182549866695
17,39.784877981998534,91.34980451437194,7265.427061470667
18,46.4639080242396,96.00598642185021,3645.0033312884602
19,42.64593201220704,6.67742668625827,3482.513197423085
20,48.46677082535148,6.62003350374738,6490.507872198757
21,73.59362557343505,19.99860787093469,7419.257926162386
22,83.92563958637508,1.1213233178864246,6334.572643289142
23,0.691578303578988,11.312078871922315,3400.7496875376996
24,27.697805858857716,6.767337010375485,6539.8392967488
