Location_ID,X,Y,Installation_Cost
0,27.858767423914465,11.445573398015178,6404.514994974782
1,9.074058142568123,22.05259076331565,7521.129970321088
2,28.778758791422522,16.92425840497844,6037.645354103194
3,39.23056793538462,27.39318954339453,7059.766562180622
4,19.237276059374437,15.684700727766021,4677.719367696431
5,13.727120646034777,29.161988295361667,4747.831140137799
6,17.542889787184976,2.387115864382734,4949.371151641462
7,15.921770213217258,29.519816229281428,6773.985407863916
8,7.299669218139999,7.018070245899701,4846.455872143239
9,21.262054953673534,21.273103483874642,4211.099032461337
10,25.376038342052844,33.97727176311158,7688.341783952979
11,28.97821299442541,24.440940427103314,7540.055418315201
12,28.89773530280886,12.91835655412713,4743.986580434956
13,14.471546224892563,9.130529235158225,6173.190351290236
14,11.748561855553174,25.239044954179512,4369.211058265379
