Location_ID,X,Y,Installation_Cost
0,18.727005942368123,47.53571532049581,6387.821809211412
1,36.59969709057025,29.93292420985183,3082.9391446392806
2,7.800932022121826,7.799726016810133,5560.4652914964045
3,2.9041806084099733,43.308807288746756,4132.47887598969
4,30.05575058716044,35.40362888980228,6225.863952047249
5,1.0292247147901223,48.49549260809972,3871.8321450249573
6,41.622132040021086,10.616955533913808,6454.68869051233
7,9.091248360355031,9.17022549267169,4933.676731502687
8,15.212112147976885,26.237821581611893,7683.649943683673
9,21.597250932105787,14.561457009902096,3687.604720729966
